ID,Predicted_Label
D2-1,Human
D2-2,Human
D2-3,AI
D2-4,Human
D2-5,AI
D2-6,AI
D2-7,AI
D2-8,Human
D2-9,AI
D2-10,AI
D2-11,Human
D2-12,AI
D2-13,AI
D2-14,Human
D2-15,AI
D2-16,Human
D2-17,Human
D2-18,AI
D2-19,Human
D2-20,Human
D2-21,AI
D2-22,Human
D2-23,Human
D2-24,Human
D2-25,Human
D2-26,Human
D2-27,AI
D2-28,Human
D2-29,AI
D2-30,Human
D2-31,AI
D2-32,AI
D2-33,Human
D2-34,AI
D2-35,Human
D2-36,Human
D2-37,AI
D2-38,AI
D2-39,AI
D2-40,Human
D2-41,Human
D2-42,Human
D2-43,Human
D2-44,Human
D2-45,Human
D2-46,Human
D2-47,Human
D2-48,AI
D2-49,Human
D2-50,Human
D2-51,Human
D2-52,Human
D2-53,Human
D2-54,Human
D2-55,Human
D2-56,AI
D2-57,Human
D2-58,Human
D2-59,AI
D2-60,AI
D2-61,Human
D2-62,Human
D2-63,AI
D2-64,AI
D2-65,Human
D2-66,Human
D2-67,AI
D2-68,Human
D2-69,AI
D2-70,Human
D2-71,AI
D2-72,AI
D2-73,AI
D2-74,Human
D2-75,Human
D2-76,Human
D2-77,AI
D2-78,AI
D2-79,Human
D2-80,Human
D2-81,Human
D2-82,Human
D2-83,Human
D2-84,AI
D2-85,Human
D2-86,Human
D2-87,Human
D2-88,Human
D2-89,AI
D2-90,Human
D2-91,Human
D2-92,Human
D2-93,Human
D2-94,AI
D2-95,Human
D2-96,Human
D2-97,Human
D2-98,Human
D2-99,AI
D2-100,Human
